BookId,Book_Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,Sales,URLs
B1,1984,George Orwell,Literature & Fiction,Classic Fiction,Paperback,99.00,4.5,125234,12398166,https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_g_1318159031_d_sccl_6/000-0000000-0000000?psc=1
B2,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,Mike Chapple,Business & Economics,Industries,Paperback,"5,210.00",4.7,1208,6293680,https://www.amazon.in/Certified-Information-Security-Professional-Official/dp/1119790026/ref=zg_bs_g_1318071031_d_sccl_20/000-0000000-0000000?psc=1
B3,100 Deadly Skills: A Navy SEAL's Guide to Crushing Your Enemy Fighting for Your Life and Embracing Your Inner Badass,Clint Emerson,Sports,Active Outdoor Pursuits,Hardcover,569.00,4.7,2193,1247817,https://www.amazon.in/100-Deadly-Skills-Crushing-Embracing/dp/9394924566/ref=zg_bs_g_1318225031_d_sccl_17/000-0000000-0000000?psc=1
B4,1001 Jumbo Brain Booster Activities for 5 to 8 Years Old Kids|Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,292.00,4.6,548,160016,https://www.amazon.in/Jumbo-Brain-Booster-Activities-Years/dp/813195823X/ref=zg_bs_g_1318075031_d_sccl_4/000-0000000-0000000?psc=1
B5,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,292.00,4.6,915,267180,https://www.amazon.in/Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_g_1318075031_d_sccl_2/000-0000000-0000000?psc=1
B6,101 Aesop's Fables For Children - 5 Minutes Read Aloud Illustrated Tales With Morals,Wonder House Books,Children's Books,Comics & Graphic Novels,Hardcover,299.00,4.5,132,39468,https://www.amazon.in/101-Aesops-Fables-Children-Illustrated/dp/9354404774/ref=zg_bs_g_1318074031_d_sccl_7/000-0000000-0000000?psc=1
B7,101 Brain Booster,Wonder House Books,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,159.00,4.4,5985,951615,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793/ref=zg_bs_g_1318075031_d_sccl_6/000-0000000-0000000?psc=1
B8,101 Copy Coloring: Fun Activity Book For Children,Wonder House Books,Children's Books,"Games, Toys & Activities",Paperback,149.00,4.5,1928,287272,https://www.amazon.in/101-Copy-Coloring-Activity-Children/dp/9389053137/ref=zg_bs_g_1318078031_d_sccl_8/000-0000000-0000000?psc=1
B9,101 Iconic Classic Vintage Cars And Trucks Coloring Book - The Ultimate Automobile Collection For Adults and Teens: Standard Edition (The Ultimate Car Coloring Book Collection!),Driven Hard,"Crafts, Home & Lifestyle","Handicrafts, Decorative Arts & Crafts",Paperback,"1,049.00",4,1,1049,https://www.amazon.in/Iconic-Classic-Vintage-Trucks-Coloring/dp/1989120989/ref=zg_bs_g_1318123031_d_sccl_17/000-0000000-0000000?psc=1
B10,101 Maze Activity Book: Fun Activity Book For Children,Wonder House Books Editorial,Children's Books,Interactive & Activity Books,Paperback,149.00,4.3,3154,469946,https://www.amazon.in/101-Maze-Activity-Book-Children/dp/9388369947/ref=zg_bs_g_1318081031_d_sccl_18/000-0000000-0000000?psc=1
B11,101 Panchtantra Stories,Dreamland Publications,Children's Books,Picture Books,Paperback,175.00,4.4,9411,1646925,https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X/ref=zg_bs_g_1318099031_d_sccl_4/000-0000000-0000000?psc=1
B12,101 Pencil Control Activity Book For Kids: Tracing Practise Book Age 2+,Wonder House Books,Children's Books,Interactive & Activity Books,Paperback,149.00,4.4,575,85675,https://www.amazon.in/Pencil-Control-Activity-Book-Kids/dp/9354405118/ref=zg_bs_g_1318081031_d_sccl_18/000-0000000-0000000?psc=1
B13,101 Tales The Great Panchatantra Collection - Collection of Witty Moral Stories For Kids For Personality Development (Hardback),Wonder House Books,Children's Books,Literature & Fiction,Hardcover,399.00,4.5,1859,741741,https://www.amazon.in/101-Tales-Great-Panchatantra-Collection/dp/9390093953/ref=zg_bs_g_1318083031_d_sccl_9/000-0000000-0000000?psc=1
B14,101 Unicorn Colouring Book Fun Activity Colouring Book For Children,Wonder House Books,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,155.00,4.5,1934,299770,https://www.amazon.in/Unicorn-Coloring-Book-Artworks-Colouring/dp/9390183545/ref=zg_bs_g_1318075031_d_sccl_1/000-0000000-0000000?psc=1
B15,101 Witty Stories of Akbar and Birbal - Collection of Humorous Stories For Kids,Wonder House Books,Children's Books,Traditional Stories,Hardcover,398.00,4.6,1521,605358,https://www.amazon.in/101-Witty-Stories-Akbar-Birbal/dp/9390391709/ref=zg_bs_g_1318092031_d_sccl_2/000-0000000-0000000?psc=1
B16,"108 Indian Mythology Stories (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,125.00,4.5,789,98625,https://www.amazon.in/108-Mythology-Stories-Illustrated-children/dp/9390292212/ref=zg_bs_g_1318101031_d_sccl_20/000-0000000-0000000?psc=1
B17,"108 Krishna Stories for Children (Illustrated) - Story Book for Kids - Hindu Mythology - Indian Gods and Goddesses - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,125.00,4.6,87,10875,https://www.amazon.in/108-Krishna-Stories-Children-Illustrated/dp/9394668160/ref=zg_bs_g_1318101031_d_sccl_16/000-0000000-0000000?psc=1
B18,"108 Moral Stories (Illustrated) - Story Book for Kids - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 4 Years to 10 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Literature & Fiction,Paperback,135.00,4.4,1937,261495,https://www.amazon.in/108-Moral-Stories-Illustrated-Children/dp/9390292948/ref=zg_bs_g_1318083031_d_sccl_20/000-0000000-0000000?psc=1
B19,108 Panchatantra Stories (Illustrated) for children [Paperback] Maple Press,Maple Press,Children's Books,Literature & Fiction,Paperback,125.00,4.4,4049,506125,https://www.amazon.in/108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_g_1318083031_d_sccl_22/000-0000000-0000000?psc=1
B20,"108 Panchatantra Story Book for Kids (Hindi) (Illustrated) - Panchatantra Ki Kahaniyan - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Literature & Fiction,Paperback,110.00,4.3,1060,116600,https://www.amazon.in/108-Panchatantra-Stories-Hindi-Illustrated/dp/9391129064/ref=zg_bs_g_1318083031_d_sccl_30/000-0000000-0000000?psc=1
B21,"108 Stories from the Vedas, the Puranas and the Upanishads for Children (Illustrated) - Story Book for Kids - Bedtime Stories - 4 Years to 10 Years Old - English Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,115.00,4.5,339,38985,https://www.amazon.in/Stories-Puranas-Upanishads-Children-Illustrated/dp/9394668144/ref=zg_bs_g_1318101031_d_sccl_4/000-0000000-0000000?psc=1
B22,"108 Stories from the Vedas, the Puranas and the Upanishads for Children (Illustrated) (Hindi) - Story Book for Kids - Bedtime Stories - 4 Years to 10 Years Old - Hindi Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,118.00,4.4,224,26432,https://www.amazon.in/Stories-Puranas-Upanishads-Children-Illustrated/dp/9394668152/ref=zg_bs_g_1318101031_d_sccl_11/000-0000000-0000000?psc=1
B23,11 Rules For Life: Secrets to Level Up,Chetan Bhagat,Children's Books,"Family, Personal & Social Issues",Kindle Edition,179.55,0,0,0,https://www.amazon.in/11-Rules-Life-Secrets-Level-ebook/dp/B0CT6YSFKS/ref=zg_bs_g_1318077031_d_sccl_25/000-0000000-0000000?psc=1
B24,147 Snooker Drills and Exercises,Andrew Highfield,Sports,"Pool, Billiards & Snooker",Kindle Edition,419.48,4.4,94,39431.12,https://www.amazon.in/Snooker-Drills-Exercises-Andrew-Highfield-ebook/dp/B07524PRX3/ref=zg_bs_g_1318270031_d_sccl_1/000-0000000-0000000?psc=1
B25,1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,Wonder House Books,Children's Books,"Cars, Trains & Things That Go",Paperback,159.00,4.5,1873,297807,https://www.amazon.in/1800-Reward-Stickers-Teachers-Parents/dp/9388810740/ref=zg_bs_g_67803460031_d_sccl_1/000-0000000-0000000?psc=1
B26,1984 (AmazonClassics Edition),George Orwell,Literature & Fiction,Classic Fiction,Kindle Edition,69.00,4.5,125234,8641146,https://www.amazon.in/1984-AmazonClassics-George-Orwell-ebook/dp/B088H7KLCG/ref=zg_bs_g_1318159031_d_sccl_15/000-0000000-0000000?psc=1
B27,"201 Amazing Activity Book - Fun Activities and Puzzles For Children: Spot The Difference, Logical Reasoning, Patterns & Tracing",Wonder House Books,Children's Books,Education & Reference,Paperback,99.00,4.4,323,31977,https://www.amazon.in/201-Amazing-Activity-Book-Activities/dp/9354404448/ref=zg_bs_g_67803454031_d_sccl_12/000-0000000-0000000?psc=1
B28,"201 Brain Booster Activity Book - Fun Activities and Exercises For Children: Tracing & Pattern, Colors & Shapes, Maze",Wonder House Books,Children's Books,Education & Reference,Paperback,99.00,4.4,602,59598,https://www.amazon.in/201-Brain-Booster-Activity-Book/dp/935440460X/ref=zg_bs_g_67803454031_d_sccl_2/000-0000000-0000000?psc=1
B29,"201 English Activity Book - Fun Activities and Grammar Exercises For Children: Alphabet & Words, Rhyming & Opposites",Wonder House Books,Children's Books,Education & Reference,Paperback,95.00,4.4,130,12350,https://www.amazon.in/201-English-Activity-Book-Activities/dp/9354404685/ref=zg_bs_g_67803454031_d_sccl_19/000-0000000-0000000?psc=1
B30,"201 Maths Activity Book - Fun Activities and Math Exercises For Children: Knowing Numbers, Addition-Subtraction, Fractions, BODMAS",Wonder House Books,Children's Books,Education & Reference,Paperback,99.00,4.4,300,29700,https://www.amazon.in/201-Maths-Activity-Book-Addition-Subtraction/dp/9354404529/ref=zg_bs_g_67803454031_d_sccl_4/000-0000000-0000000?psc=1
B31,201 Sight Words And Sentence With 800+ Sentences To Read Activity Book For Children,Wonder House Books,Children's Books,"Games, Toys & Activities",Paperback,139.00,4.4,498,69222,https://www.amazon.in/Sight-Words-Sentence-Sentences-Read/dp/9354402798/ref=zg_bs_g_1318078031_d_sccl_9/000-0000000-0000000?psc=1
B32,2024: India in Free Fall,Sanjay Jha,Politics,Freedom & Security,Paperback,509.00,0,0,0,https://www.amazon.in/2024-India-Free-Sanjay-Jha/dp/9356998892/ref=zg_bs_g_1318177031_d_sccl_30/000-0000000-0000000?psc=1
B33,"26 Marathons: What I Learned About Faith, Identity, Running, and Life from My Marathon Career",Meb Keflezighi,Sports,Active Outdoor Pursuits,Paperback,448.88,4.6,833,373917.04,https://www.amazon.in/26-Marathons-Learned-Identity-Marathon/dp/0593139836/ref=zg_bs_g_1318225031_d_sccl_7/000-0000000-0000000?psc=1
B34,"30 DAYS: Change your habits, Change your life",Marc Reklau,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,201.40,4.4,2565,516591,https://www.amazon.in/30-DAYS-Change-your-habits-ebook/dp/B07T1P4H6R/ref=zg_bs_g_1318132031_d_sccl_10/000-0000000-0000000?psc=1
B35,365 Maths Activity Book?ˇFor Kids: Age 5+,Wonder House Books,Children's Books,Education & Reference,Paperback,149.00,4.5,441,65709,https://www.amazon.in/365-Maths-Activity-Book-Kids/dp/9354403034/ref=zg_bs_g_67803454031_d_sccl_20/000-0000000-0000000?psc=1
B36,400 Days,Chetan Bhagat,"Crime, Thriller & Mystery",Thrillers and Suspense,Paperback,209.00,4.4,11262,2353758,https://www.amazon.in/Chetan-bhagat-400-days-Bhagat/dp/9356291144/ref=zg_bs_g_22960213031_d_sccl_12/000-0000000-0000000?psc=1
B37,49 Questions to Annoy Your Parents (The 49 Series Book 4),James Warwood,Children's Books,Humour,Kindle Edition,99.00,4.1,893,88407,https://www.amazon.in/Questions-Annoy-Your-Parents-Book-ebook/dp/B00YWL439C/ref=zg_bs_g_1318080031_d_sccl_23/000-0000000-0000000?psc=1
B38,50+ Linux Commands before joining a Company (Coding Interviews: Algorithm and Data Structure Proficiency Book 12),Aditya Chatterjee,"Computing, Internet & Digital Media",Network Administration,Kindle Edition,49.00,3.7,10,490,https://www.amazon.in/Linux-Commands-before-joining-Company-ebook/dp/B08FCYKGZY/ref=zg_bs_g_1318114031_d_sccl_8/000-0000000-0000000?psc=1
B39,505 Activities For Kids [Paperback] Dreamland Publications,Dreamland Publications,Children's Books,Geography & Cultures,Paperback,198.00,4.4,7616,1507968,https://www.amazon.in/505-Activities-Kids-Dreamland-Publications/dp/935089968X/ref=zg_bs_g_67803459031_d_sccl_24/000-0000000-0000000?psc=1
B40,6 Secrets Smart Students Don?üÉ?ˇt Tell You,Chandan Deshmukh,Children's Books,"Family, Personal & Social Issues",Paperback,137.00,4.3,972,133164,https://www.amazon.in/Secrets-Smart-Students-Dont-tell/dp/0143449192/ref=zg_bs_g_1318077031_d_sccl_3/000-0000000-0000000?psc=1
B41,80/20 Triathlon: Discover the Breakthrough Elite-Training Formula for Ultimate Fitness and Performance at All Levels,Matt Fitzgerald,Sports,Triathlon,Audible Audiobook,500.00,4.6,804,402000,https://www.amazon.in/80-Triathlon-Breakthrough-Elite-Training-Performance/dp/B07HWT6R94/ref=zg_bs_g_1318280031_d_sccl_29/000-0000000-0000000?psc=1
B42,A Brief History of Intelligence: Why The Evolution of The Brain Holds The Key To The Future of AI,Max Bennett,"Computing, Internet & Digital Media",Computer Science,Paperback,464.34,4.8,36,16716.24,https://www.amazon.in/Grey-Matters-Brief-History-Brains/dp/0008560102/ref=zg_bs_g_1318108031_d_sccl_27/000-0000000-0000000?psc=1
B43,"A Court of Mist and Fury: The second book in the GLOBALLY BESTSELLING, SENSATIONAL series (A Court of Thorns and Roses 2)",Sarah J. Maas,Teen & Young Adult,Romance,Kindle Edition,335.30,4.7,152676,51192262.8,https://www.amazon.in/Court-Mist-Fury-Thorns-Roses-ebook/dp/B01A8ZNWXS/ref=zg_bs_g_67803438031_d_sccl_15/000-0000000-0000000?psc=1
B44,A Court of Thorns and Roses,Sarah J. Maas,Literature & Fiction,"Myths, Legends & Sagas",Paperback,399.80,4.4,171974,68755205.2,https://www.amazon.in/Court-Thorns-Roses-Sarah-Maas/dp/152664116X/ref=zg_bs_g_1318166031_d_sccl_4/000-0000000-0000000?psc=1
