GenreID,Genre,URL,
G1,"Arts, Film & Photography",https://www.amazon.in/gp/bestsellers/books/1318052031,G1
G2,"Biographies, Diaries & True Accounts",https://www.amazon.in/gp/bestsellers/books/1318064031,G2
G3,Business & Economics,https://www.amazon.in/gp/bestsellers/books/1318068031,G3
G4,Children's Books,https://www.amazon.in/gp/bestsellers/books/64619755031,G4
G5,Comics & Mangas,https://www.amazon.in/gp/bestsellers/books/1318104031,G5
G6,"Computing, Internet & Digital Media",https://www.amazon.in/gp/bestsellers/books/1318105031,G6
G7,"Crafts, Home & Lifestyle",https://www.amazon.in/gp/bestsellers/books/1318118031,G7
G8,"Crime, Thriller & Mystery",https://www.amazon.in/gp/bestsellers/books/1318161031,G8
G9,Engineering,https://www.amazon.in/gp/bestsellers/books/22960344031,G9
G10,Exam Preparation,https://www.amazon.in/gp/bestsellers/books/4149751031,G10
G11,"Fantasy, Horror & Science Fiction",https://www.amazon.in/gp/bestsellers/books/1402038031,G11
G12,"Health, Family & Personal Development",https://www.amazon.in/gp/bestsellers/books/1318128031,G12
G13,Higher Education Textbooks,https://www.amazon.in/gp/bestsellers/books/4149418031,G13
G14,History,https://www.amazon.in/gp/bestsellers/books/4149493031,G14
G15,"Language, Linguistics & Writing",https://www.amazon.in/gp/bestsellers/books/1318144031,G15
G16,Law,https://www.amazon.in/gp/bestsellers/books/4149542031,G16
G17,Literature & Fiction,https://www.amazon.in/gp/bestsellers/books/1318157031,G17
G18,Medicine & Health Sciences,https://www.amazon.in/gp/bestsellers/books/4149549031,G18
G19,Politics,https://www.amazon.in/gp/bestsellers/books/1318176031,G19
G20,Reference,https://www.amazon.in/gp/bestsellers/books/1318185031,G20
G21,Religion,https://www.amazon.in/gp/bestsellers/books/1318188031,G21
G22,Romance,https://www.amazon.in/gp/bestsellers/books/1318168031,G22
G23,School Books,https://www.amazon.in/gp/bestsellers/books/4149807031,G23
G24,Science & Mathematics,https://www.amazon.in/gp/bestsellers/books/4149708031,G24
G25,"Sciences, Technology & Medicine",https://www.amazon.in/gp/bestsellers/books/1318203031,G25
G26,Society & Social Sciences,https://www.amazon.in/gp/bestsellers/books/1318216031,G26
G27,Sports,https://www.amazon.in/gp/bestsellers/books/1318224031,G27
G28,Teen & Young Adult,https://www.amazon.in/gp/bestsellers/books/64619754031,G28
G29,Textbooks & Study Guides,https://www.amazon.in/gp/bestsellers/books/15417300031,G29
G30,Travel,https://www.amazon.in/gp/bestsellers/books/1318295031,G30
